county_id,source_county_name,implemented_county_name,de_jure_duchy,de_jure_kingdom,top_realm,holder,government,source_basis
c_BAL_anbyeon,Ānbiān,Ānbiān,d_BAL_yeojintang,k_luzhen,c_BAL_anbyeon,aq_chief_1,tribal_government,K
c_BAL_central_hoewon,Central Huáiyuǎn,Central Huáiyuǎn,d_BAL_hoewon,k_luzhen,c_BAL_central_hoewon,aq_chief_2,tribal_government,K
c_BAL_changchun,Changchun,Changchun,d_BAL_buyeo,k_balhae,c_BAL_changchun,aq_chief_3,tribal_government,K
c_BAL_dazhou,Dazhou,Dazhou,d_BAL_hoewon,k_luzhen,c_BAL_dazhou,aq_chief_4,tribal_government,K
c_BAL_delizhen,Délizhèn,Délizhèn,d_BAL_cheolli,k_luzhen,c_BAL_delizhen,aq_chief_5,tribal_government,K
c_BAL_dongju,Tóngzhōu,Tóngzhōu,d_BAL_parhae,k_balhae,c_BAL_dongju,aq_chief_6,tribal_government,K
c_BAL_dongpyeong_yizhou,Yizhou,Yizhou,d_BAL_dongpyeong,k_luzhen,c_BAL_dongpyeong_yizhou,aq_chief_7,tribal_government,K
c_BAL_east_amnok,East Yālü,East Yālü,d_BAL_amnok_jangryeong,k_balhae,c_BAL_east_amnok,aq_chief_8,tribal_government,K
c_BAL_east_hoewon,East Huáiyuǎn,East Huáiyuǎn,d_BAL_hoewon,k_luzhen,c_BAL_east_hoewon,aq_chief_9,tribal_government,K
c_BAL_east_hyeondeok,East Xiandé,East Xiandé,d_BAL_parhae,k_balhae,c_BAL_east_hyeondeok,aq_chief_10,tribal_government,K
c_BAL_east_jangryeong,East Zhangling,East Zhangling,d_BAL_amnok_jangryeong,k_balhae,c_BAL_east_jangryeong,aq_chief_11,tribal_government,K
c_BAL_fengzhou,Fēngzhōu,Fēngzhōu,d_BAL_southern_balhae,k_balhae,c_BAL_fengzhou,aq_chief_12,tribal_government,K
c_BAL_fuzhou,Fuzhou,Fuzhou,d_BAL_buyeo,k_balhae,c_BAL_fuzhou,aq_chief_13,tribal_government,K
c_BAL_heuksu_anwon,Heuksu Anwon,Heuksu Anwon,d_BAL_anwon,k_luzhen,c_BAL_heuksu_anwon,aq_chief_14,tribal_government,K
c_BAL_huligai,Huligai,Huligai,d_BAL_cheolli,k_luzhen,c_BAL_huligai,aq_chief_15,tribal_government,K
