county,old_culture,culture,faith,ruler,ruler_culture
c_BAL_anbyeon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_1,aq_tungusic
c_BAL_central_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_2,aq_tungusic
c_BAL_changchun,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_3,aq_tungusic
c_BAL_dazhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_4,aq_tungusic
c_BAL_delizhen,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_5,aq_tungusic
c_BAL_dongju,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_6,aq_tungusic
c_BAL_dongpyeong_yizhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_7,aq_tungusic
c_BAL_east_amnok,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_8,aq_tungusic
c_BAL_east_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_9,aq_tungusic
c_BAL_east_hyeondeok,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_10,aq_tungusic
c_BAL_east_jangryeong,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_11,aq_tungusic
c_BAL_fengzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_12,aq_tungusic
c_BAL_fuzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_13,aq_tungusic
c_BAL_heuksu_anwon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_14,aq_tungusic
c_BAL_huligai,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_15,aq_tungusic
c_BAL_ilanshan,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_16,aq_tungusic
c_BAL_jeongni,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_17,aq_tungusic
c_BAL_jixi,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_18,aq_tungusic
c_BAL_makhil,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_19,aq_tungusic
c_BAL_namhae,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_20,aq_tungusic
c_BAL_ningzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_21,aq_tungusic
c_BAL_north_anbyeon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_22,aq_tungusic
c_BAL_north_anwon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_23,aq_tungusic
c_BAL_northyongwon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_24,aq_tungusic
c_BAL_sokju,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_25,aq_tungusic
c_BAL_solbin,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_26,aq_tungusic
c_BAL_south_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_27,aq_tungusic
c_BAL_southyongwon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_28,aq_tungusic
c_BAL_supin,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_29,aq_tungusic
c_BAL_west_amnok,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_30,aq_tungusic
c_BAL_west_cheolli,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_31,aq_tungusic
c_BAL_west_hyeondeok,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_32,aq_tungusic
c_BAL_west_jangryeong,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_33,aq_tungusic
c_BAL_west_makhil,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_34,aq_tungusic
c_BAL_xinzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_35,aq_tungusic
c_BAL_yeongju,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_36,aq_tungusic
c_BAL_yizhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_37,aq_tungusic
c_BAL_yongcheon,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_38,aq_tungusic
c_BOR_banjar,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_39,aq_austronesian
c_BOR_berau,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_40,aq_austronesian
c_BOR_brunei,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_41,aq_austronesian
c_BOR_iban,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_42,aq_austronesian
c_BOR_kudat,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_43,aq_austronesian
c_BOR_kutai_jauh,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_44,aq_austronesian
c_BOR_kutai_utara,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_45,aq_austronesian
c_BOR_lahad_datu,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_46,aq_austronesian
c_BOR_martapura,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_47,aq_austronesian
c_BOR_menjelutung,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_48,aq_austronesian
c_BOR_nabawan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_49,aq_austronesian
