county,old_culture,culture,faith,government,holder,former_liege
c_BAL_anbyeon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_1,0
c_BAL_central_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_2,0
c_BAL_changchun,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_3,0
c_BAL_dazhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_4,d_BAL_hoewon
c_BAL_delizhen,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_5,0
c_BAL_dongju,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_6,0
c_BAL_dongpyeong_yizhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_7,0
c_BAL_east_amnok,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_8,0
c_BAL_east_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_9,d_BAL_hoewon
c_BAL_east_hyeondeok,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_10,d_BAL_parhae
c_BAL_east_jangryeong,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_11,d_BAL_amnok_jangryeong
c_BAL_fengzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_12,0
c_BAL_fuzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_13,d_BAL_buyeo
c_BAL_heuksu_anwon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_14,0
c_BAL_huligai,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_15,d_BAL_cheolli
c_BAL_ilanshan,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_16,d_BAL_hoewon
c_BAL_jeongni,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_17,d_BAL_yeojintang
c_BAL_jixi,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_18,d_BAL_dongpyeong
c_BAL_makhil,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_19,0
c_BAL_namhae,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_20,d_BAL_southern_balhae
c_BAL_ningzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_21,d_BAL_anwon
c_BAL_north_anbyeon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_22,d_BAL_yeojintang
c_BAL_north_anwon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_23,d_BAL_anwon
c_BAL_northyongwon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_24,d_BAL_southern_balhae
c_BAL_sokju,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_25,d_BAL_moe_su
c_BAL_solbin,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_26,d_BAL_yeojintang
c_BAL_south_hoewon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_27,d_BAL_hoewon
c_BAL_southyongwon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_28,d_BAL_southern_balhae
c_BAL_supin,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_29,d_BAL_anwon
c_BAL_west_amnok,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_30,d_BAL_amnok_jangryeong
c_BAL_west_cheolli,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_31,d_BAL_cheolli
